id,label
1,HALLUCINATION
4,CONSISTENT
3,HALLUCINATION
8,CONSISTENT
7,HALLUCINATION
6,HALLUCINATION
9,HALLUCINATION
10,CONSISTENT
15,CONSISTENT
14,HALLUCINATION
12,CONSISTENT
13,HALLUCINATION
16,HALLUCINATION
2,HALLUCINATION
11,CONSISTENT
18,HALLUCINATION
20,HALLUCINATION
21,HALLUCINATION
23,HALLUCINATION
5,HALLUCINATION
22,HALLUCINATION
25,HALLUCINATION
27,HALLUCINATION
28,HALLUCINATION
29,CONSISTENT
33,CONSISTENT
19,HALLUCINATION
31,HALLUCINATION
26,CONSISTENT
37,CONSISTENT
36,HALLUCINATION
34,HALLUCINATION
24,HALLUCINATION
30,CONSISTENT
40,HALLUCINATION
35,HALLUCINATION
39,HALLUCINATION
38,HALLUCINATION
41,HALLUCINATION
44,CONSISTENT
45,CONSISTENT
43,HALLUCINATION
47,HALLUCINATION
49,CONSISTENT
48,HALLUCINATION
46,HALLUCINATION
17,HALLUCINATION
52,HALLUCINATION
54,HALLUCINATION
53,HALLUCINATION
51,HALLUCINATION
55,HALLUCINATION
32,HALLUCINATION
56,HALLUCINATION
57,HALLUCINATION
58,CONSISTENT
60,HALLUCINATION
62,HALLUCINATION
61,HALLUCINATION
50,HALLUCINATION
66,CONSISTENT
65,HALLUCINATION
59,CONSISTENT
70,CONSISTENT
63,HALLUCINATION
69,HALLUCINATION
67,CONSISTENT
68,HALLUCINATION
73,CONSISTENT
64,CONSISTENT
77,CONSISTENT
72,CONSISTENT
42,CONSISTENT
78,HALLUCINATION
74,HALLUCINATION
81,CONSISTENT
79,PARTIAL
75,HALLUCINATION
71,HALLUCINATION
86,CONSISTENT
84,HALLUCINATION
85,CONSISTENT
82,HALLUCINATION
83,CONSISTENT
90,CONSISTENT
76,HALLUCINATION
88,HALLUCINATION
87,HALLUCINATION
89,HALLUCINATION
95,CONSISTENT
97,HALLUCINATION
94,CONSISTENT
98,CONSISTENT
96,HALLUCINATION
92,CONSISTENT
100,HALLUCINATION
80,HALLUCINATION
104,HALLUCINATION
99,CONSISTENT
106,CONSISTENT
105,HALLUCINATION
101,CONSISTENT
103,CONSISTENT
91,HALLUCINATION
109,HALLUCINATION
110,HALLUCINATION
102,HALLUCINATION
108,HALLUCINATION
107,HALLUCINATION
115,HALLUCINATION
114,HALLUCINATION
111,HALLUCINATION
113,HALLUCINATION
93,PARTIAL
116,HALLUCINATION
119,CONSISTENT
117,HALLUCINATION
112,HALLUCINATION
118,HALLUCINATION
123,HALLUCINATION
126,HALLUCINATION
121,HALLUCINATION
125,HALLUCINATION
128,HALLUCINATION
124,HALLUCINATION
130,HALLUCINATION
133,CONSISTENT
131,HALLUCINATION
129,HALLUCINATION
122,HALLUCINATION
127,HALLUCINATION
120,HALLUCINATION
132,HALLUCINATION
137,HALLUCINATION
136,HALLUCINATION
135,CONSISTENT
140,CONSISTENT
141,HALLUCINATION
144,HALLUCINATION
143,CONSISTENT
145,HALLUCINATION
139,HALLUCINATION
142,PARTIAL
149,HALLUCINATION
146,HALLUCINATION
147,HALLUCINATION
134,CONSISTENT
153,HALLUCINATION
150,CONSISTENT
151,HALLUCINATION
152,CONSISTENT
154,HALLUCINATION
157,PARTIAL
158,HALLUCINATION
156,HALLUCINATION
159,CONSISTENT
155,HALLUCINATION
148,CONSISTENT
160,HALLUCINATION
165,CONSISTENT
164,HALLUCINATION
161,HALLUCINATION
138,PARTIAL
167,HALLUCINATION
170,HALLUCINATION
166,HALLUCINATION
171,HALLUCINATION
173,HALLUCINATION
169,HALLUCINATION
162,PARTIAL
174,HALLUCINATION
176,HALLUCINATION
168,CONSISTENT
163,HALLUCINATION
177,HALLUCINATION
180,HALLUCINATION
179,CONSISTENT
183,HALLUCINATION
182,HALLUCINATION
181,HALLUCINATION
175,HALLUCINATION
187,HALLUCINATION
186,HALLUCINATION
189,HALLUCINATION
185,HALLUCINATION
192,CONSISTENT
184,HALLUCINATION
188,HALLUCINATION
191,HALLUCINATION
193,HALLUCINATION
194,HALLUCINATION
196,HALLUCINATION
172,PARTIAL
195,CONSISTENT
199,HALLUCINATION
201,HALLUCINATION
202,HALLUCINATION
197,HALLUCINATION
200,HALLUCINATION
206,CONSISTENT
203,HALLUCINATION
190,CONSISTENT
178,CONSISTENT
205,CONSISTENT
204,HALLUCINATION
209,CONSISTENT
210,CONSISTENT
211,CONSISTENT
212,HALLUCINATION
208,CONSISTENT
198,HALLUCINATION
216,CONSISTENT
215,HALLUCINATION
214,PARTIAL
217,HALLUCINATION
220,CONSISTENT
219,HALLUCINATION
218,CONSISTENT
221,CONSISTENT
213,PARTIAL
225,CONSISTENT
222,CONSISTENT
223,HALLUCINATION
227,CONSISTENT
226,HALLUCINATION
228,HALLUCINATION
229,HALLUCINATION
207,HALLUCINATION
230,HALLUCINATION
233,HALLUCINATION
232,CONSISTENT
234,CONSISTENT
238,CONSISTENT
236,HALLUCINATION
237,HALLUCINATION
239,HALLUCINATION
235,HALLUCINATION
242,HALLUCINATION
244,HALLUCINATION
240,HALLUCINATION
224,CONSISTENT
246,CONSISTENT
245,PARTIAL
248,CONSISTENT
231,CONSISTENT
250,HALLUCINATION
252,CONSISTENT
243,HALLUCINATION
251,HALLUCINATION
254,HALLUCINATION
257,CONSISTENT
255,HALLUCINATION
253,CONSISTENT
256,HALLUCINATION
258,HALLUCINATION
249,HALLUCINATION
247,HALLUCINATION
241,HALLUCINATION
260,HALLUCINATION
263,HALLUCINATION
262,HALLUCINATION
261,HALLUCINATION
264,HALLUCINATION
266,HALLUCINATION
268,HALLUCINATION
270,HALLUCINATION
265,CONSISTENT
267,HALLUCINATION
272,HALLUCINATION
269,HALLUCINATION
271,HALLUCINATION
274,HALLUCINATION
276,HALLUCINATION
259,HALLUCINATION
275,CONSISTENT
277,CONSISTENT
282,CONSISTENT
281,HALLUCINATION
278,HALLUCINATION
284,CONSISTENT
279,HALLUCINATION
285,HALLUCINATION
280,HALLUCINATION
286,CONSISTENT
287,HALLUCINATION
273,HALLUCINATION
288,HALLUCINATION
292,CONSISTENT
290,CONSISTENT
289,HALLUCINATION
294,HALLUCINATION
298,HALLUCINATION
295,HALLUCINATION
300,HALLUCINATION
296,HALLUCINATION
301,CONSISTENT
299,HALLUCINATION
302,HALLUCINATION
304,HALLUCINATION
297,CONSISTENT
306,HALLUCINATION
307,HALLUCINATION
308,HALLUCINATION
293,CONSISTENT
310,HALLUCINATION
303,HALLUCINATION
314,HALLUCINATION
283,PARTIAL
291,HALLUCINATION
305,HALLUCINATION
312,CONSISTENT
316,HALLUCINATION
315,HALLUCINATION
318,HALLUCINATION
309,HALLUCINATION
321,HALLUCINATION
311,PARTIAL
